Mean Bids Price,Mean Bids Size,Mean Asks Price,Mean Asks Size,Price After 1min
91155.85276,25.6155826,215748.9558,0.31711751,118117.625
91100.16941,25.66672976,215717.2487,0.316868436,118291.075
91102.05186,25.66385707,215582.0815,0.316998123,118251.095
91102.98081,25.66309821,215446.663,0.316860744,118210.495
91121.97854,25.64498066,216026.7645,0.318535941,118246.59
91114.87737,25.65138861,215994.1581,0.317355012,118327.385
91097.5373,25.66826975,215955.8599,0.31706298,118325.795
91145.11944,25.62083531,216127.0059,0.317124282,118255.99
91106.63525,25.65684401,215938.2192,0.317013532,117902.64
90945.56013,25.80970782,215561.282,0.315777462,117827.665
90939.3702,25.81198249,215501.4552,0.316352375,117736.7
90906.7709,25.84344844,215249.7241,0.315569157,117754.965
90942.15458,25.80707699,215586.2321,0.31595478,118037.625
90941.49432,25.80809361,215346.5001,0.316147407,117989.005
90954.23692,25.79459764,215344.0783,0.315721557,117908.415
90943.41566,25.80383798,215241.1553,0.315827743,117940.62
90991.22993,25.76058777,215215.6221,0.316382132,118332.425
91004.39027,25.74719098,215253.3941,0.316176318,118329.455
91013.70112,25.73887288,215194.3094,0.315136174,118343.535
91049.97719,25.70378379,215170.9896,0.316326574,118388.235
91044.29563,25.7086077,215718.2411,0.316233856,118480.505
91039.09867,25.71483583,215293.1801,0.316261241,118397.75
91068.62457,25.68509189,215236.9275,0.316328735,118414.72
91062.98389,25.69064682,215056.0728,0.315780749,118389.54
91046.55509,25.70619608,215290.4651,0.314974516,118424.045
91036.1623,25.71601458,215536.5297,0.315744169,118480.225
91058.43415,25.69488864,215371.0121,0.316211508,118516.615
91071.91174,25.68362688,215216.7938,0.315374794,118530.375
91073.03914,25.68130074,215216.1361,0.315725568,118532.25
91060.40129,25.69442281,215176.7066,0.316508565,118487.835
91068.75224,25.68548399,215264.8592,0.316681515,118484.615
91074.98525,25.68142,215201.3431,0.316579711,118441.365
91072.44487,25.68300291,215272.9494,0.317043956,118522.815
91062.13598,25.69210972,215045.1325,0.316839026,118507.52
91082.17103,25.67409286,215296.8355,0.31765007,118465.455
91060.3518,25.69320727,215145.2819,0.317049956,118431.285
91079.90397,25.67526941,215210.7658,0.317016231,118457.695
91083.93837,25.67222275,215297.1232,0.317389264,118457.985
91067.28883,25.68765606,215357.0139,0.31714461,118467.165
91090.8036,25.66482174,215239.3336,0.316642757,118517.975
91093.08758,25.66326667,215224.8052,0.316588164,118499.995
91093.31361,25.66210418,215327.5867,0.315680478,118395.555
91084.308,25.67035109,215184.8581,0.315642762,118388.175
91075.92528,25.67867804,214957.1979,0.315414084,118312.105
91074.13654,25.68036074,215144.0323,0.316690822,118355.93
91095.23426,25.66055031,215216.0871,0.316734174,118388.165
91048.92019,25.70406039,215230.9678,0.316620617,118325.585
91072.14051,25.68293429,215057.7346,0.316240527,118328.63
91090.71486,25.66565873,215381.5831,0.317234079,118396.915
91076.25592,25.67892524,215082.3187,0.316213536,118331.185
91078.46225,25.67714816,215379.0747,0.31699573,118354.245
91088.95314,25.66759718,215070.6155,0.316087909,118272.725
91047.39769,25.70452667,215177.0172,0.313526053,118284.295
91068.634,25.6844225,215075.5102,0.31712965,118223.58
91043.21005,25.70926587,214916.8179,0.31570918,118172.435
91067.20128,25.68608703,215243.2016,0.316815413,118220.785
91058.63821,25.69529112,215134.7383,0.316455859,118259.095
91078.72739,25.67639657,215102.0186,0.31635628,118260.415
91075.62684,25.67823837,215221.1267,0.316745592,118276.575
91082.229,25.67258729,215229.8391,0.316775035,118300.85
91100.32734,25.65602644,215317.2329,0.317029009,118348.865
91104.77044,25.65196006,215230.8303,0.316913656,118402.165
91075.22113,25.68158372,215200.123,0.316136126,118023.395
91103.48627,25.65702303,215140.3274,0.317012974,118032.925
91037.03076,25.71936974,215043.1864,0.316652244,118057.945
91036.62781,25.7197382,214917.9973,0.316411077,118071.375
91073.80611,25.68386044,215162.1968,0.316192357,118062.225
91090.5973,25.66997326,214908.8534,0.316510714,118048.89
91058.43413,25.70014864,214569.9499,0.314903054,117912.63
91079.05868,25.67965923,214718.3799,0.31589892,117947.185
91095.3059,25.6643199,214750.3372,0.315822978,117925.805
91090.69582,25.66848485,214541.8654,0.315190447,117956.465
91061.26466,25.69791064,214965.6071,0.315951365,118000.99
91107.06248,25.6522016,214932.107,0.315821779,117939.755
91055.30549,25.70161723,214671.9421,0.31543303,117890.515
91107.46328,25.65190075,214970.0877,0.316316467,117975.625
91109.35426,25.65059843,215050.347,0.315931912,118060.82
91098.56098,25.66040852,214964.3347,0.316010055,118071.0
91080.66738,25.67661396,214737.621,0.314886089,117842.73
91055.81488,25.6996943,214859.4869,0.315814366,117858.43
91058.63738,25.69699075,214733.5177,0.315492889,117856.575
91077.22802,25.67850346,214867.1367,0.316013399,117921.865
91055.40364,25.69961386,214970.2126,0.316178498,117861.725
91085.81433,25.67099579,214946.199,0.316017664,117890.395
91088.47151,25.66857412,214852.9019,0.315641852,117888.635
91094.36123,25.66282026,214837.4436,0.315665681,117897.685
91091.70373,25.66518847,214886.9046,0.315315226,117981.945
91082.56919,25.67383381,215124.4237,0.315691163,118067.845
91112.80693,25.64755191,214903.7843,0.316170646,118108.395
91103.90012,25.65474278,214982.5002,0.31622429,118086.005
91117.19599,25.64175819,214739.3471,0.315729413,118094.585
91111.54526,25.64747482,214895.7491,0.31637548,118094.565
91083.09631,25.67453802,214863.3615,0.316065635,118050.145
91088.60582,25.66878336,214831.2846,0.31596256,118054.78
91100.15427,25.6581679,214800.357,0.315897487,118039.42
91093.35047,25.66471095,214845.2559,0.31599952,118113.725
91116.46873,25.64350073,214948.0496,0.316333753,118150.325
91114.37578,25.64576375,214940.9083,0.316386882,118187.685
91120.17891,25.64104197,214976.255,0.316181657,118156.965
91104.17523,25.65653595,214889.9382,0.315961311,118159.305
91112.77261,25.64671182,214772.5799,0.315597259,118196.165
91114.38514,25.64491257,214868.851,0.314987947,118154.045
91112.63212,25.64592072,214725.6598,0.315239494,118105.855
91113.28233,25.64596856,214779.5731,0.315587202,118104.225
91116.2171,25.6433678,214827.1064,0.315692028,118135.885
91117.75398,25.64175512,214795.3005,0.315350333,118096.4
91107.59782,25.6508197,214841.011,0.315646335,118040.46
91100.49758,25.65631116,214746.7891,0.315473355,118041.365
91107.8293,25.64832883,214824.9122,0.315593271,118048.905
91117.77124,25.63930056,214951.3118,0.315813113,118161.855
91128.91193,25.62953732,215047.124,0.316468995,118240.93
91114.29603,25.64564499,215126.9951,0.316429099,118265.045
91137.50883,25.6219903,215025.3128,0.316483367,118267.655
91125.83965,25.63518538,214994.0093,0.3163742,118321.035
91123.13154,25.63866221,215010.2176,0.315715696,118331.565
91132.63103,25.62691442,215105.9946,0.316037452,118342.175
91113.52170428066,25.645439329875188,215014.46745317435,0.3156266941611935,118282.915
91132.1489661882,25.62673721069569,214995.69813772407,0.315627269321924,118286.245
91128.03945607095,25.63010041951956,214816.14270968264,0.3150959999789507,118292.045
91140.62023533913,25.619630530860995,214808.21711487093,0.3148587202145228,118273.715
91152.77999521882,25.60798880559366,214956.8916199124,0.3152392861731798,118292.105
91144.52192424194,25.61621682514715,214902.28666882747,0.3151626472595413,118288.955
91146.45894844244,25.61613857795013,214941.9546611544,0.3152493005042153,118369.685
91137.64941728066,25.624281565200143,214903.8053091321,0.3152713513515923,118346.495
91133.63998819738,25.62759852021116,214903.5268568187,0.3160462200956162,118362.045
91159.78755799872,25.60243586417496,214841.1791991254,0.3151237748530245,118346.535
91144.36775914294,25.61613109109077,214934.1504547297,0.3153920206687201,118290.24
91117.31856445284,25.64055913613155,214708.09009542293,0.3145230524793789,118239.845
91141.2927499123,25.617821091439048,214722.00074005176,0.3145264090731156,118282.525
91167.88977382772,25.592326490774724,214824.6450400777,0.3149801626888511,118316.925
91153.0508280742,25.607100320167653,214990.74509813468,0.3156108506618005,118332.275
91158.64683439024,25.60162278724132,215035.9917632262,0.3166412732035054,118428.51
91163.69546170022,25.59822532421808,215268.37230225187,0.3147073947101861,118494.805
91186.87121673246,25.576250255030565,214983.90718676505,0.3163669562136079,118472.155
91163.27671743564,25.59887664392939,215140.3155097068,0.3157180303062302,118447.495
91179.27199923572,25.58441108044997,215054.08371855217,0.3161814688922253,118421.55
91173.30799662387,25.58840542293085,214880.93997812705,0.3151813768146468,118406.87
91192.33519479282,25.571370056404607,214975.57370499507,0.3157413322169964,118440.345
91191.40231077728,25.57119461008148,215055.77926148355,0.3155847044570686,118424.745
91176.06739617836,25.5858491285242,214891.5880588188,0.3155863845264522,118476.955
91176.81324628172,25.58673977266155,215047.4374713949,0.3160449411661121,118496.985
